"","sido","sigungu","sigungu_cd","2014_1","2014_2","2014_3","2014_4","2014_5","2014_6","2014_7","2014_8","2014_9","2014_10","2014_11","2014_12","2015_1","2015_2","2015_3","2015_4","2015_5","2015_6","2015_7","2015_8","2015_9","2015_10","2015_11","2015_12","2016_1","2016_2","2016_3","2016_4","2016_5","2016_6","2016_7","2016_8","2016_9","2016_10","2016_11","2016_12","2017_1","2017_2","2017_3","2017_4","2017_5","2017_6","2017_7","2017_8","2017_9","2017_10","2017_11","2017_12","2018_1","2018_2","2018_3","2018_4","2018_5","2018_6","2018_7","2018_8","2018_9","2018_10","2018_11","2018_12","2019_1","2019_2","2019_3","2019_4","2019_5","2019_6","2019_7","2019_8","2019_9","2019_10","2019_11","2019_12","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"214","경북","군위군",37310,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.581,100.232,100.232,100.232,100.232,100.232,100.232,100.232,100.232,100.232,100.232,100.232,100.232,101.174,101.174,101.174,101.174,101.174,101.174,101.174,101.174,101.174,101.174,101.174,101.174,102.331,102.331,102.331,102.331,102.331,102.331,102.331,102.331,102.331,102.331,102.331,102.331,103.896,103.896,103.896,103.896,103.896,103.896,103.896,103.896,103.896,103.896,103.896,103.896,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.188,104.646,104.646,104.646,104.646,104.646,104.646,104.646,104.646,104.646,104.646,104.646,104.646,105.159,105.159,105.159,105.159,105.159,105.159,105.159,105.159,105.159,105.159,105.159,105.159
"215","경북","의성군",37320,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.164,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.244,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.137,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.36,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.322,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.702,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.487,95.975,95.975,95.975,95.975,95.975,95.975,95.975,95.975,95.975,95.975,95.975,95.975
"216","경북","청송군",37330,98.388,98.388,98.388,98.388,98.388,98.388,98.388,98.388,98.388,98.388,98.388,98.388,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.929,97.856,97.856,97.856,97.856,97.856,97.856,97.856,97.856,97.856,97.856,97.856,97.856,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.292,98.808,98.808,98.808,98.808,98.808,98.808,98.808,98.808,98.808,98.808,98.808,98.808,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.363,99.862,99.862,99.862,99.862,99.862,99.862,99.862,99.862,99.862,99.862,99.862,99.862
"217","경북","영양군",37340,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.661,96.789,96.789,96.789,96.789,96.789,96.789,96.789,96.789,96.789,96.789,96.789,96.789,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.052,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.258,97.474,97.474,97.474,97.474,97.474,97.474,97.474,97.474,97.474,97.474,97.474,97.474,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.192,98.031,98.031,98.031,98.031,98.031,98.031,98.031,98.031,98.031,98.031,98.031,98.031,99.609,99.609,99.609,99.609,99.609,99.609,99.609,99.609,99.609,99.609,99.609,99.609
"218","경북","영덕군",37350,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.868,90.562,90.562,90.562,90.562,90.562,90.562,90.562,90.562,90.562,90.562,90.562,90.562,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.01,91.031,91.031,91.031,91.031,91.031,91.031,91.031,91.031,91.031,91.031,91.031,91.031,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.492,90.773,90.773,90.773,90.773,90.773,90.773,90.773,90.773,90.773,90.773,90.773,90.773,89.961,89.961,89.961,89.961,89.961,89.961,89.961,89.961,89.961,89.961,89.961,89.961,90.505,90.505,90.505,90.505,90.505,90.505,90.505,90.505,90.505,90.505,90.505,90.505
"219","경북","청도군",37360,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.134,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.477,95.914,95.914,95.914,95.914,95.914,95.914,95.914,95.914,95.914,95.914,95.914,95.914,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.249,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.429,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.682,96.736,96.736,96.736,96.736,96.736,96.736,96.736,96.736,96.736,96.736,96.736,96.736
"220","경북","고령군",37370,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.846,103.926,103.926,103.926,103.926,103.926,103.926,103.926,103.926,103.926,103.926,103.926,103.926,104.251,104.251,104.251,104.251,104.251,104.251,104.251,104.251,104.251,104.251,104.251,104.251,103.815,103.815,103.815,103.815,103.815,103.815,103.815,103.815,103.815,103.815,103.815,103.815,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.13,104.569,104.569,104.569,104.569,104.569,104.569,104.569,104.569,104.569,104.569,104.569,104.569,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.148,105.751,105.751,105.751,105.751,105.751,105.751,105.751,105.751,105.751,105.751,105.751,105.751
"221","경북","성주군",37380,104.701,104.701,104.701,104.701,104.701,104.701,104.701,104.701,104.701,104.701,104.701,104.701,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.115,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.114,105.668,105.668,105.668,105.668,105.668,105.668,105.668,105.668,105.668,105.668,105.668,105.668,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.232,106.653,106.653,106.653,106.653,106.653,106.653,106.653,106.653,106.653,106.653,106.653,106.653,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.316,107.709,107.709,107.709,107.709,107.709,107.709,107.709,107.709,107.709,107.709,107.709,107.709
"222","경북","칠곡군",37390,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.663,107.418,107.418,107.418,107.418,107.418,107.418,107.418,107.418,107.418,107.418,107.418,107.418,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.117,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.228,108.818,108.818,108.818,108.818,108.818,108.818,108.818,108.818,108.818,108.818,108.818,108.818,109.072,109.072,109.072,109.072,109.072,109.072,109.072,109.072,109.072,109.072,109.072,109.072,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.917,108.61,108.61,108.61,108.61,108.61,108.61,108.61,108.61,108.61,108.61,108.61,108.61
"223","경북","예천군",37400,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.455,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.119,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.426,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.957,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.554,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.309,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.784,96.624,96.624,96.624,96.624,96.624,96.624,96.624,96.624,96.624,96.624,96.624,96.624
"224","경북","봉화군",37410,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.825,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.474,98.785,98.785,98.785,98.785,98.785,98.785,98.785,98.785,98.785,98.785,98.785,98.785,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.048,99.848,99.848,99.848,99.848,99.848,99.848,99.848,99.848,99.848,99.848,99.848,99.848,100.887,100.887,100.887,100.887,100.887,100.887,100.887,100.887,100.887,100.887,100.887,100.887,101.355,101.355,101.355,101.355,101.355,101.355,101.355,101.355,101.355,101.355,101.355,101.355,102.235,102.235,102.235,102.235,102.235,102.235,102.235,102.235,102.235,102.235,102.235,102.235
"225","경북","울진군",37420,98.272,98.272,98.272,98.272,98.272,98.272,98.272,98.272,98.272,98.272,98.272,98.272,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.007,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.83,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.812,99.721,99.721,99.721,99.721,99.721,99.721,99.721,99.721,99.721,99.721,99.721,99.721,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.008,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.684,100.814,100.814,100.814,100.814,100.814,100.814,100.814,100.814,100.814,100.814,100.814,100.814
"226","경북","울릉군",37430,114.414,114.414,114.414,114.414,114.414,114.414,114.414,114.414,114.414,114.414,114.414,114.414,115.197,115.197,115.197,115.197,115.197,115.197,115.197,115.197,115.197,115.197,115.197,115.197,118.792,118.792,118.792,118.792,118.792,118.792,118.792,118.792,118.792,118.792,118.792,118.792,120.004,120.004,120.004,120.004,120.004,120.004,120.004,120.004,120.004,120.004,120.004,120.004,118.295,118.295,118.295,118.295,118.295,118.295,118.295,118.295,118.295,118.295,118.295,118.295,119.216,119.216,119.216,119.216,119.216,119.216,119.216,119.216,119.216,119.216,119.216,119.216,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.262,120.792,120.792,120.792,120.792,120.792,120.792,120.792,120.792,120.792,120.792,120.792,120.792
"227","경남","진주시",38030,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.037,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.268,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.239,98.085,98.085,98.085,98.085,98.085,98.085,98.085,98.085,98.085,98.085,98.085,98.085,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.911,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.781,97.781,97.781,97.781,97.781,97.781,97.781,97.781,97.781,97.781,97.781,97.781
"228","경남","통영시",38050,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.673,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.256,102.015,102.015,102.015,102.015,102.015,102.015,102.015,102.015,102.015,102.015,102.015,102.015,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.817,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.334,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.074,101.115,101.115,101.115,101.115,101.115,101.115,101.115,101.115,101.115,101.115,101.115,101.115,100.757,100.757,100.757,100.757,100.757,100.757,100.757,100.757,100.757,100.757,100.757,100.757
